Date,1999 1Q ,1999 2Q ,1999 3Q ,1999 4Q ,2000 1Q ,2000 2Q ,2000 3Q ,2000 4Q ,2001 1Q ,2001 2Q ,2001 3Q ,2001 4Q ,2002 1Q ,2002 2Q ,2002 3Q ,2002 4Q ,2003 1Q ,2003 2Q ,2003 3Q ,2003 4Q ,2004 1Q ,2004 2Q ,2004 3Q ,2004 4Q ,2005 1Q ,2005 2Q ,2005 3Q ,2005 4Q ,2006 1Q ,2006 2Q ,2006 3Q ,2006 4Q ,2007 1Q ,2007 2Q ,2007 3Q ,2007 4Q ,2008 1Q ,2008 2Q ,2008 3Q ,2008 4Q ,2009 1Q ,2009 2Q ,2009 3Q ,2009 4Q ,2010 1Q ,2010 2Q ,2010 3Q ,2010 4Q ,2011 1Q ,2011 2Q ,2011 3Q ,2011 4Q ,2012 1Q ,2012 2Q ,2012 3Q ,2012 4Q ,2013 1Q ,2013 2Q ,2013 3Q ,2013 4Q ,2014 1Q ,2014 2Q ,2014 3Q ,2014 4Q ,2015 1Q ,2015 2Q ,2015 3Q ,2015 4Q ,2016 1Q ,2016 2Q ,2016 3Q ,2016 4Q ,2017 1Q ,2017 2Q ,2017 3Q ,2017 4Q ,2018 1Q ,2018 2Q ,2018 3Q ,2018 4Q ,2019 1Q ,2019 2Q ,2019 3Q ,2019 4Q ,2020 1Q ,2020 2Q ,2020 3Q ,2020 4Q ,2021 1Q ,2021 2Q ,2021 3Q ,2021 4Q ,2022 1Q ,2022 2Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,"34,744.2","36,571.5","37,158.3","37,738.6","39,125.6","40,470.1","42,658.1","43,353.5","42,134.3","40,691.3","39,293.3","38,934.8","41,047.8","41,884.6","41,369.6","41,438.9","42,513.5","40,700.2","42,617.6","44,229.1","47,034.2","47,427.2","49,240.6","50,546.8","51,068.1","52,004.6","53,635.2","55,809.6","56,570.7","58,167.1","59,464.5","61,785.5","64,552.8","67,891.6","69,736","70,518.3","69,611.8","69,304.1","69,950.9","65,330.2","65,330.8","69,051.8","72,654.8","75,251.8","78,538.9","81,827.5","82,109.8","84,657","87,047.1","86,773.2","88,685.5","88,869.2","91,694.3","93,048.6","90,842.1","93,092.9","94,467","96,139","96,740.1","97,398.4","97,811.7","99,155.7","100,260","101,529.3","104,048","105,560.5","106,924.4","106,710.9","107,003.9","109,044","110,409.1","113,474.5","116,713.3","116,341.8","117,845.8","122,623.1","123,034.5","126,706.4","129,091.1","129,168.1","128,115.6","128,684.7","128,746.1","126,832.2","127,879.2","109,118.1","117,683.5","121,374.2","131,353.6","134,343.4","133,487.2","134,126.4","145,208.5","148,444.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,73.25,73.41,73.54,73.55,74.09,74.,74.64,74.99,75.36,75.27,75.27,74.84,74.7,74.95,74.95,74.96,75.21,75.06,75.3,75.45,76.13,76.48,76.74,76.7,76.33,76.52,77.09,77.54,77.37,77.42,77.75,77.66,77.64,78.95,80.47,81.62,83.04,84.65,85.73,85.75,84.73,84.64,85.27,85.43,86.35,87.21,88.24,89.39,90.52,91.62,93.12,94.15,95.13,95.99,97.04,97.76,98.26,97.68,98.86,99.54,99.52,99.46,99.51,99.29,99.16,99.08,98.77,98.61,98.38,98.11,98.56,98.85,98.94,98.92,98.94,99.19,99.21,99.43,99.65,99.56,99.89,99.98,100.09,100.3,99.74,99.38,99.88,100.33,101.1,101.8,102.61,104.29,106.2,108.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR(Q),219.779,220.256,220.648,220.652,222.275,222.023,223.934,224.988,226.087,225.812,225.837,224.545,224.122,224.861,224.87,224.896,225.639,225.198,225.928,226.361,228.405,229.458,230.233,230.124,229.008,229.583,231.286,232.647,232.116,232.276,233.251,232.995,232.934,236.879,241,244.865,249.123,253.963,257.209,257.253,254.193,253.942,255.836,256.298,259.064,261.645,264.735,268,271.571,274.869,279.378,282.467,285.416,287.987,291.142,293.282,295,293,296.603,298.63,298.575,298.397,299,297.883,297,297.268,296.31,295.853,295.156,294,295.706,296.579,296.849,296.78,296.842,297.582,297.633,298.313,298.978,298.683,299.678,299.95,300.286,300.903,299.224,298.158,299.657,301.014,303.324,305.425,307.838,312.87,318.617,325.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR(M),73.273,73.364,73.142,73.331,73.499,73.426,73.528,73.574,73.546,73.491,73.545,73.616,73.942,74.294,74.039,74.146,73.878,73.999,74.378,74.769,74.787,74.844,75.009,75.135,75.413,75.27,75.404,75.611,75.307,74.894,75.343,75.299,75.195,75.005,74.847,74.693,74.584,74.804,74.734,74.814,75.047,75,75.023,74.97,74.877,74.855,75.022,75.019,75.235,75.097,75.307,75.46,74.981,74.757,75.224,75.312,75.392,75.34,75.443,75.578,75.741,76.613,76.051,76.564,76.747,76.147,76.758,76.659,76.816,76.788,76.767,76.569,76.038,76.597,76.373,76.843,76.72,76.02,76.817,77.18,77.289,77.604,77.509,77.534,77.355,77.509,77.252,77.673,77.556,77.069,77.651,77.694,77.627,77.93,77.93,78.161,76.904,77.479,77.43,78.025,78.537,78.384,79.958,80.374,79.963,81.095,81.716,81.147,82.002,82.558,82.632,83.933,84.451,84.296,85.216,85.544,85.361,86.304,86.245,85.501,85.507,85.236,84.751,84.206,84.656,84.283,85.003,85.307,85.008,85.521,85.566,85.05,85.682,86.048,86.115,86.901,87.402,86.567,87.676,88.081,88.129,88.525,88.818,88.954,90.405,90.339,90.458,90.774,91.318,91.103,92.448,93.115,92.941,93.322,93.842,93.877,94.748,94.491,95.207,95.718,95.917,95.924,96.146,96.744,97.298,97.1,97.225,97.936,98.121,99.107,98.574,97.112,97.457,97.656,97.929,98.718,98.865,99.02,99.72,99.404,99.506,99.484,99.749,99.342,99.676,99.508,99.213,99.742,99.553,99.255,99.441,99.328,99.114,99.211,99.449,98.829,99.279,99.171,98.818,98.911,98.912,98.487,98.684,98.693,98.476,98.375,98.416,98.365,97.724,98.449,98.173,98.657,98.666,98.383,98.699,98.854,99.026,99.023,99.064,98.762,99.098,98.956,98.726,99.056,99.036,98.75,99.322,99.225,99.035,99.501,99.299,98.833,99.449,99.505,99.359,99.778,99.753,99.447,99.61,99.686,99.387,99.953,99.972,99.753,100.325,100.038,99.587,100.209,100.147,99.93,100.254,100.445,100.204,100.279,99.933,99.012,99.48,99.5,99.178,99.807,100.139,99.711,100.105,100.469,100.44,101.015,101.239,101.07,101.883,101.87,101.672,102.231,102.657,102.95,103.959,104.439,104.472,105.379,106.691,106.547,107.598,108.671,108.836,
C,3.1,2.7,3,2.4,2.8,3.4,2,2.2,1.9,2.2,2.9,3.7,3.6,3.4,3.6,3.7,3.7,3.6,4.8,3.9,3.7,3.6,3,3.2,3.2,3.3,3.3,2.7,2.4,2.7,2.8,2.8,2.7,2.3,1.7,1.7,1.9,2.2,2.3,2.7,3.2,3.2,3.3,2.3,2.2,2.2,2.1,2.2,1.9,2,2.1,2.1,2.1,1.9,1.9,1.9,1.9,2,1.8,1.9,2.1,1.9,1.9,1.9,1.8,2,1.9,1.9,1.9,2.1,2.1,2.2,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.2,2.3,2.5,2.9,3.4,3.2,2.9,2.7,2.6,2.4,2.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,99.59,99.23,99.57,99.46,99.21,99.11,99.91,101.16,101.89,100.64,101.76,100.05,99.89,99.29,99.86,99.79,100,98.14,97.44,97.08,97.42,98.58,98.17,99.54,99.78,99.61,99.59,99.39,101.59,102.9,103.4,104.14,104.77,103.65,104.22,106.5,107.41,110.11,109.2,108.64,107.45,108.46,108.3,109.24,109.17,111.06,112.23,113.93,115.08,116.58,116.44,114.26,116.4,117.36,119.1,120.18,120.29,120.69,120.9,121.93,121.54,122.26,122.89,122.78,121.86,124.13,122.56,123.34,123.98,125.12,125.06,123.98,124.93,124.88,125.32,125.77,125.37,125.65,126.23,126.96,127.42,127.61,127.24,128.26,126,125.65,125.64,125.56,125.59,125.97,125.88,126.21,127.27,129.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER(Q),298.78,297.69,298.71,298.38,297.64,297.35,299.75,303.49,305.68,301.93,305.28,300.16,299.69,297.89,299.59,299.37,300.02,294.43,292.33,291.25,292.27,295.75,294.53,298.62,299.34,298.83,298.78,298.17,304.77,308.7,310.2,312.44,314.31,310.95,313,319.5,322.25,330.35,327.62,325.93,322.35,325.39,324.92,327.73,327.51,333.19,336.7,342,345.25,349.74,349.33,342.79,349.2,352.09,357.32,360.55,361,362,362.72,365.8,364.62,366.78,369,368.36,366,372.4,367.69,370.02,371.95,375,375.19,371.96,374.81,374.65,375.97,377.33,376.11,376.97,378.7,380.9,382.26,382.85,381.74,384.79,378.01,376.97,376.94,376.69,376.77,377.93,377.64,378.65,381.82,389.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER(M),100,99.76,99.02,98.93,99.71,99.05,99.02,99.81,99.88,99,99.83,99.55,100.05,99.23,98.36,98.43,99.59,99.33,99.04,100.2,100.51,100.37,101.5,101.62,101.94,101.58,102.16,100.71,100.07,101.15,101.04,101.39,102.85,101.68,99.41,99.07,99,100.38,100.31,99.12,99.7,99.07,99.2,99.95,100.44,99.32,100.12,99.93,100.57,99.71,99.74,98.32,97.44,98.67,97.04,97.57,97.72,97.39,96.61,97.25,97.54,97.47,97.26,98.49,98.7,98.56,98,97.94,98.59,99.32,99.71,99.59,99.48,99.78,100.08,99.51,99.96,99.36,99.08,100.38,99.32,99.16,99.18,99.83,101.1,101.62,102.05,102.28,102.64,102.99,103.07,103.28,103.7,103.22,104.02,104.01,104.41,104.63,104.77,104.91,103.99,103.3,103.66,103.79,103.67,105.22,106.29,106.34,106.87,107.08,107.42,107.75,109.72,110.15,110.48,110.04,108.65,108.93,108.97,107.43,109.53,107.5,107.43,107.42,108.63,108.46,108.3,108.29,108.15,108.48,109.2,109.24,109.29,108.71,109.38,109.42,111.1,111.11,110.98,111.83,112.25,112.62,113.71,113.66,114.44,114.8,115.09,115.36,116.21,116.64,116.89,118.06,118.27,113,114.88,113.74,114.17,116.1,116.25,116.85,117.98,116.54,117.57,119.3,118.88,119.14,119.99,120.22,120.34,119.5,120.52,120.87,121.07,120.75,120.25,120.25,120.87,121.6,121.89,122.17,121.74,121.74,121.1,121.78,122.15,122.19,122.44,122.8,122.74,123.15,122.78,122.78,122.8,122.01,121.51,122.07,124.14,123.95,124.31,123.11,122.26,122.32,123.47,123.87,122.68,122.92,123.98,125.05,124.6,124.7,126.07,126.17,124.76,124.26,123.81,124.15,124,124.4,125.2,125.21,124.67,124.83,125.15,125.48,125.14,125.35,125.61,125.72,126,125.35,125.14,125.62,125.63,125.89,125.45,126.28,126.01,126.41,126.74,127.03,127.13,127.29,127.44,127.53,127.55,127.45,127.85,127.14,127.07,127.53,128.21,128.18,128.4,126.56,126.01,125.44,125.59,125.6,125.78,125.6,125.68,125.66,125.45,125.56,125.68,125.24,125.48,126.05,125.93,126.21,125.79,125.64,126.07,125.93,126.25,125.72,126.68,127.42,126.68,127.72,129.29,129.86,130.28,132
E,61.45,59.27,57.56,58.04,58.98,60.83,56.4,56.55,57.08,58.71,59.61,56.44,58.78,60.32,61.91,64.35,65.05,66.17,65.52,70.99,73.3,77.22,70.87,72.01,77.52,77.02,73.44,72.73,76.49,84.43,81.78,84.61,88.5,91.15,95.23,103.69,116.61,122.21,104.65,88.03,87.95,96.4,92.5,97.6,100.81,99.85,109.28,120.9,131,128.81,122.27,116.79,120.98,117.94,121.68,119.4,120.33,122.02,114.47,114.81,125.48,121.76,112.82,108.38,100.67,100.69,97.14,92.91,96.7,102.78,101.78,103.38,104.06,104.78,101.02,102.28,105.32,103.4,97.59,97.19,98.06,98.13,95.6,101.97,96.02,96.6,100.22,109.49,121.13,128.09,127.63,133.55,152.92,148.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(Q),184.3605865705,177.8184092252,172.7023326466,174.1238148571,176.9446442277,182.4979196736,169.225527296,169.6540602061,171.2670606812,176.1434732871,178.8409521513,169.3209839696,176.3534938126,180.9629548715,185.7382076309,193.0512079839,195.1773877084,198.5159823812,196.5609983516,212.9946102601,219.9293160664,231.6621847825,212.6320707889,216.0336548491,232.561371739,231.0654617669,220.347141656,218.1972364084,229.4774108041,253.2948676232,245.3532088669,253.8541909473,265.5166700366,273.4573115229,286,311.0733479217,349.8480887119,366.641056397,313.976710714,264.103286931,263.8721188505,289.2090049971,277.5007423029,292.8204922932,302.4477632261,299.5583617173,327.8670555532,363,393.0236961003,386.4301335566,366.8104816775,350.3876702124,362.9446944757,353.8423756387,365.0624630917,358.2120748217,361,366,343.4261698097,344.4491800519,376.4565788833,365.2938969664,338,325.1563307585,302,302.0750314916,291.4218325059,278.7342091094,290.1161356359,308,305.3438693998,310.1505761431,312.2000368682,314.351635479,303.0834997673,306.8664413021,315.9706009384,310.2284101156,292.7760416697,291.5819926817,294.1894562233,294.4188792768,286.8289830323,305.9161603533,288.0872297977,289.8257892359,300.6633885313,328.4975421451,363.4095944971,384.2741737587,382.9122417323,400.6650559323,458.7722058273,445.9643617363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(M),65.26,60.48,58.61,59.52,59.99,58.30,56.41,57.84,58.45,58.29,57.71,58.12,58.39,58.79,59.77,62.15,61.23,59.12,57.37,56.17,55.68,55.29,55.71,58.65,57.22,56.40,57.64,57.91,59.31,58.92,60.24,60.30,58.31,57.17,56.17,55.98,57.55,57.93,60.88,61.03,60.24,59.70,61.69,61.56,62.49,64.92,63.59,64.54,65.04,65.35,64.79,66.21,66.48,65.82,63.26,63.66,69.65,72.62,70.40,69.98,71.58,72.11,76.24,77.52,78.56,75.58,73.09,69.40,70.14,69.36,71.38,75.29,74.93,77.69,79.95,77.39,78.46,75.21,74.51,72.98,72.86,72.71,72.09,73.40,75.31,76.76,77.41,80.43,86.08,83.85,83.37,82.04,81.57,81.75,83.83,84.24,85.79,87.51,87.24,90.77,90.22,90.73,92.50,91.76,95.66,98.29,99.42,104.34,107.31,113.19,118.36,118.30,120.34,123.37,122.93,114.05,106.52,93.40,87.89,87.45,88.77,85.24,86.37,92.26,98.43,97.13,93.65,92.37,91.20,93.93,96.26,97.93,98.63,98.20,100.83,103.42,100.01,96.91,102.64,104.82,109.72,113.33,114.76,121.93,126.04,130.21,129.44,133.37,130.56,128.39,127.48,127.06,121.37,118.38,118.01,114.89,117.49,120.01,122.03,120.90,115.78,115.68,122.39,123.49,121.27,120.31,119.02,118.94,120.25,119.46,119.67,121.86,124.11,121.82,120.14,117.10,113.54,112.78,113.60,115.12,115.73,119.76,127.12,129.58,124.49,121.60,119.20,114.31,112.23,111.94,111.24,109.11,104.80,101.99,99.13,100.90,100.81,100.69,100.57,97.58,96.61,97.24,93.42,92.93,92.38,93.49,96.93,99.69,101.12,103.37,103.86,102.18,102.01,101.15,101.64,102.17,106.34,106.63,103.18,102.39,104.42,103.81,106.12,101.68,100.35,101.05,101.43,101.04,104.40,104.62,105.74,105.61,107.13,102.89,100.21,96.20,97.24,99.33,95.09,97.39,99.10,97.57,96.73,99.89,96.64,98.83,98.95,96.74,94.87,95.21,99.18,102.80,103.93,99.84,96.12,92.13,95.38,98.18,96.26,97.77,99.23,103.66,106.64,107.75,114.11,117.12,119.74,126.55,132.08,125.28,126.91,129.62,126.05,127.25,129.13,132.79,138.74,145.62,154.63,158.52,155.60,150.32,140.05,
